country,year,sex,list,agf,cause,total,d20_new,d30_new,d40_new,d50_new,d60_new,d70_new,d80_new,d90_new,d100p,Calculated total,Check total
USA,1988,3,long,4,102,47.1,1.41,3.12,3.21,5.77,9.74,13.85,7.80,2.07,0.12,47.09,0.01
USA,1988,3,long,4,103,5382.02,72.16,132.01,243.47,526.42,1216.26,1753.15,1192.93,236.51,8.7,5381.61,0.41
USA,1988,3,long,4,104,5631.02,14.33,52.17,180.59,483.27,1068.93,1546.78,1574.98,664.66,45.47,5631.18,-0.16
USA,1988,3,long,4,105,16658.55,58.59,268.18,700.47,1579.39,3193.02,4331.71,4681.37,1780.61,64.21,16657.55,1
USA,1988,3,long,4,106,4851.49,44,103.95,118.20,283.6,728.86,1405.83,1544.60,602.84,19.36,4851.24,0.25
USA,1988,3,long,4,107,2618.05,16.33,42.9,53.93,116.10,389.00,675.03,951.11,357.15,16.37,2617.92,0.13
USA,1988,3,long,4,108,245568.75,290.36,1746.07,7407.76,20038.46,50550.40,77787.05,67497.85,19364.48,872.55,245554.98,13.77
USA,1988,3,long,4,109,4380.27,22.17,64.16,185.22,409.55,906.52,1229.57,1117.79,423.42,21.82,4380.22,0.05
USA,1988,3,long,4,110,334704.4,269.53,1684.20,6731.44,19048.64,49989.01,89189.93,109465.18,54804.06,3553.86,334735.85,-31.45
USA,1988,3,long,4,111,13498.61,443.63,446.76,650.80,1297.08,2910.64,3960.2,2934.37,818.88,35.59,13497.95,0.66
USA,1988,3,long,4,112,129749.57,2251.75,2229.17,3797.36,8353.04,20218.05,33622.96,39571.88,18512.95,1200.71,129757.87,-8.3
USA,1989,1,long,4,0,1114189.99,79273,51001.39,61324.91,105121.86,226507.77,305706.77,225822.49,57042.49,2389.31,1114189.99,0
USA,1989,1,long,4,1,746220.77,77339.41,46246.06,46141.79,69665.18,145192.19,192402.72,135616.76,32301.02,1311.45,746216.58,4.19
USA,1989,1,long,4,102,14.65,0.66,0.59,0.85,1.92,3.66,3.65,2.81,0.46,0.05,14.65,0
USA,1989,1,long,4,103,1579.72,26.25,48.90,123.44,169.77,391.38,495.23,282.21,40.89,1.58,1579.65,0.07
USA,1989,1,long,4,104,2253.49,14.34,32.41,123.00,274.67,563.13,656.11,457.44,127.01,5.41,2253.52,-0.03
USA,1989,1,long,4,105,7073.85,34.49,195.33,510.09,1007.44,1759.12,1899.49,1351.44,309.26,7.04,7073.7,0.15
USA,1989,1,long,4,106,2324.25,31.16,77.33,89.27,164.65,364.03,704.32,694.34,192.75,6.4,2324.25,0
USA,1989,1,long,4,107,1027.45,9.54,25.51,33.67,68.97,175.82,312.18,312.41,86.19,3.13,1027.42,0.03
USA,1989,1,long,4,108,132611.64,184.02,1315.34,5900.73,14407.31,32432.74,42791.15,29420.46,5961.27,194.93,132607.95,3.69
USA,1989,1,long,4,109,2359.89,13.82,41.22,144.47,304.85,621.78,646.44,474.48,102.68,10.18,2359.92,-0.03
USA,1989,1,long,4,110,157223.06,174.59,1313.26,5457.21,13607.06,32651.27,48049.57,42064.61,13288.19,623.34,157229.10,-6.04
USA,1989,1,long,4,111,5684.03,214.02,189.44,352.65,579.64,1368.70,1717.04,1041.00,215.58,5.84,5683.91,0.12
USA,1989,1,long,4,112,55817.19,1230.70,1516.00,2447.74,4870.40,10983.95,16028.87,14104.53,4417.19,219.96,55819.34,-2.15
USA,1989,2,long,4,0,1036276.05,40618.40,20502.75,32616.35,63795.52,151254.64,257669.33,313942.26,146383.54,9493.26,1036276.05,0
USA,1989,2,long,4,1,669046.38,39319.24,18686.94,27775.68,50103.05,108432.55,165325.97,178475.53,76305.9,4606.08,669030.94,15.44
